admin1,year,month,price,admin2,market,commodity,unit,pricetype,currency
Autonomous region in Muslim Mindanao,2010,1,29.8,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,2,30.25,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,3,32.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,4,32.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,5,31.5,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,6,31.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,7,31.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,8,31.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,9,31.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,10,30.4,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,11,29.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2010,12,29.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,1,32.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,2,32.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,3,32.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,4,35.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,5,35.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,6,35.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,7,35.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,8,35.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,9,34.2,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,10,33.75,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,11,33.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2012,12,33.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2013,1,33.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2013,2,33.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2013,3,32.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2013,4,32.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2013,5,32.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2013,7,35.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2013,8,35.4,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2014,7,44.3,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2014,8,44.3,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2014,9,42.85,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2014,10,37.0,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2014,11,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2014,12,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,1,35.82,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,2,34.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,3,35.06,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
